,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,"Найти финансирование","Доработать ценностное предложение, масштабировать бизнес ",Расширить нетворк,Найти заказчиков / партнеров,Протестировать продукт,Доработать прототип,Выпустить мелкую серию продукта,Найти помещение в аренду,Выйти на международный рынок,Получить консультацию по бизнес-вопросам
1,Инвестиции,1,,,,,,,,,
2,Тематические мероприятия (нетворкинг),,,1,,,,,,,
3,Обучение (образовательные программы),,1,,,,,,,,
4,Ментор/ консультант для поддержки развития бизнеса,,1,,,,,,,,
5,Тестирование продукта,,,,,1,,,,,
6,Помощь в формировании команды,,,,,,,,,,
7,Консультационная поддержка по развитию бизнеса,,,,,,,,,,1
8,Поддержка по юридическим / бухгалтерским вопросам,,,,,,,,,,
9,Маркетинг и продвижение,,,,1,,,,,,
10,Помощь в выходе на международный рынок,,,,,,,,,1,
11,Доступ к потенциальным заказчикам,,,,1,,,,,,
12,Программа постсопровождения,,,,,,,,,,
13,"Финансовая поддержка (субсидии, гранты и т.п.)",1,,,,,,,,,
14,Помещение для аренды офиса,,,,,,,,1,,
15,Доступ к оборудованию/ лаборатории / облачным сервисам,,,,,,1,,,,
16,Проведение исследований / испытаний,,,,,,1,,,,
17,Проектирование,,,,,,1,,,,
18,Прототипирование,,,,,,1,,,,
19,Мелкосерийное производство,,,,,,,1,,,
20,Защита интеллектуальной собственности,,,,,,,,,,
